target,feat,metric,value
cp2c9,fp,EF1,31.92860691221347
hxk4,fp,EF1,27.727784026996627
ptn1,fp,EF1,26.30502923976608
wee1,fp,EF1,25.097207739543506
cp3a4,fp,EF1,25.074984882080226
plk1,fp,EF1,22.69032258064516
igf1r,fp,EF1,21.7491703539823
ppard,fp,EF1,21.2119341563786
vgfr2,fp,EF1,20.967741935483872
src,fp,EF1,19.606413646868226
fnta,fp,EF1,19.122747457384328
tgfr1,fp,EF1,18.265704346435285
mmp13,fp,EF1,18.127353009528235
braf,fp,EF1,16.812671643522997
pa2ga,fp,EF1,16.663348685187938
lck,fp,EF1,16.59100684261975
pparg,fp,EF1,16.375698739528694
hs90a,fp,EF1,16.34193548387097
pde5a,fp,EF1,16.29942857142857
abl1,fp,EF1,16.1536758601605
csf1r,fp,EF1,16.10924508562304
ada17,fp,EF1,15.330913185277216
ppara,fp,EF1,15.313722471747319
mapk2,fp,EF1,15.166110436893202
rock1,fp,EF1,14.960212201591514
kith,fp,EF1,14.880355276907
mk14,fp,EF1,14.44440733090142
xiap,fp,EF1,14.064063185607722
mk01,fp,EF1,13.863921628654522
jak2,fp,EF1,13.813579163008487
hdac2,fp,EF1,13.450451878864753
hivpr,fp,EF1,13.424980539699014
def,fp,EF1,13.266116941529235
reni,fp,EF1,13.174648592581994
tysy,fp,EF1,13.068605179463882
bace1,fp,EF1,12.770413306451612
kit,fp,EF1,12.770135214579659
cxcr4,fp,EF1,12.418032786885245
fabp4,fp,EF1,12.331518451300665
parp1,fp,EF1,12.156290897114776
ace,fp,EF1,11.5680648527397
met,fp,EF1,11.550593555681177
lkha4,fp,EF1,11.500253506844684
mcr,fp,EF1,11.468624064478986
egfr,fp,EF1,11.227105105504894
akt1,fp,EF1,11.175542406311637
hmdh,fp,EF1,11.137454518725422
aa2ar,fp,EF1,10.936235731554305
mk10,fp,EF1,10.752688172043012
pyrd,fp,EF1,10.575629316106037
cdk2,fp,EF1,10.284517134761302
pgh1,fp,EF1,10.043609346398192
gcr,fp,EF1,9.79896143272505
esr2,fp,EF1,9.61490111911697
fa10,fp,EF1,9.220649895178196
mp2k1,fp,EF1,9.180735930735931
nram,fp,EF1,9.077984234234235
prgr,fp,EF1,9.04126348570793
fak1,fp,EF1,8.79585326953748
thrb,fp,EF1,8.619770380896092
ital,fp,EF1,8.175579881371462
kpcb,fp,EF1,8.14605734767025
pgh2,fp,EF1,8.110126153385497
fkb1a,fp,EF1,8.065213475049541
try1,fp,EF1,7.979154546261328
pnph,fp,EF1,7.90938864628821
drd3,fp,EF1,7.8818928164196125
esr1,fp,EF1,7.843569914305336
aces,fp,EF1,7.842057117358322
thb,fp,EF1,7.745039682539682
hdac8,fp,EF1,7.726815240833933
urok,fp,EF1,7.138185443668993
cah2,fp,EF1,6.955084292952556
hivrt,fp,EF1,6.732309228039042
grik1,fp,EF1,6.64571877454831
adrb1,fp,EF1,6.119501544360422
aofb,fp,EF1,6.03656462585034
comt,fp,EF1,5.8313953488372094
fa7,fp,EF1,5.478885135135135
dpp4,fp,EF1,5.19635581513281
casp3,fp,EF1,5.176216216216217
gria2,fp,EF1,5.062823355506282
ada,fp,EF1,4.99142895406455
adrb2,fp,EF1,4.698585046808875
dyr,fp,EF1,4.429299010995519
andr,fp,EF1,4.405328234544295
tryb1,fp,EF1,4.137651821862349
pur2,fp,EF1,4.01578315319952
nos1,fp,EF1,3.74390243902439
rxra,fp,EF1,3.7364672364672367
akt2,fp,EF1,3.706004447739066
dhi1,fp,EF1,3.089140041603159
hivint,fp,EF1,2.868328868740985
pygm,fp,EF1,2.6649550706033374
kif11,fp,EF1,2.5409308643740616
sahh,fp,EF1,2.147953216374269
fpps,fp,EF1,1.442464464882943
fgfr1,fp,EF1,1.3034238488783942
aldr,fp,EF1,0.9145650048875856
ampc,fp,EF1,0.0
inha,fp,EF1,0.0
glcm,fp,EF1,0.0
