target,feat,metric,value
cp2c9,fp,EF1,30.573657433578294
igf1r,fp,EF1,25.317417978127498
wee1,fp,EF1,24.258234519104082
cp3a4,fp,EF1,24.257876006742833
hxk4,fp,EF1,20.59778242005464
ptn1,fp,EF1,19.762461059190034
tgfr1,fp,EF1,18.623595505617978
braf,fp,EF1,17.90067911714771
mk01,fp,EF1,17.892583120204602
mmp13,fp,EF1,17.55669080320561
fnta,fp,EF1,16.94569116484013
pa2ga,fp,EF1,16.456126482213442
vgfr2,fp,EF1,15.831902587519023
src,fp,EF1,15.699321093899407
csf1r,fp,EF1,15.469531643444686
nram,fp,EF1,15.432573198198197
hivpr,fp,EF1,15.274330950931057
reni,fp,EF1,15.049180327868854
abl1,fp,EF1,14.78220238095238
ada17,fp,EF1,13.893245204902895
bace1,fp,EF1,13.769313169502205
def,fp,EF1,13.738636363636363
mapk2,fp,EF1,13.635
lck,fp,EF1,13.449720670391063
plk1,fp,EF1,13.300132625994694
pde5a,fp,EF1,12.821509451053807
parp1,fp,EF1,12.796392060328278
lkha4,fp,EF1,12.732423525435186
mk14,fp,EF1,12.675597364763528
hmdh,fp,EF1,12.035757980202424
tryb1,fp,EF1,11.952069716775599
cxcr4,fp,EF1,11.930707876370887
akt1,fp,EF1,11.885294819766052
kith,fp,EF1,11.77292046144505
kit,fp,EF1,11.753751103265666
cdk2,fp,EF1,11.559471223303838
pnph,fp,EF1,10.985262008733624
pyrd,fp,EF1,10.734618916437098
aa2ar,fp,EF1,10.709077019237446
jak2,fp,EF1,10.66231983527797
hdac2,fp,EF1,10.653434152488973
mcr,fp,EF1,10.621357305146697
met,fp,EF1,10.564694564694564
pparg,fp,EF1,10.552757327406583
rock1,fp,EF1,10.47187141216992
mk10,fp,EF1,9.965531458728456
tysy,fp,EF1,9.699735948698603
thb,fp,EF1,9.451271186440678
fak1,fp,EF1,9.301994301994302
pgh2,fp,EF1,9.207141110295916
esr2,fp,EF1,9.097627904140497
kpcb,fp,EF1,9.021953327571305
drd3,fp,EF1,8.924059368099202
hivrt,fp,EF1,8.44633158882196
ppard,fp,EF1,8.203312392918333
ppara,fp,EF1,8.040634966137528
ace,fp,EF1,7.90249704672288
fa10,fp,EF1,7.650187521309238
gcr,fp,EF1,7.59190570860551
mp2k1,fp,EF1,7.477581395348838
adrb1,fp,EF1,7.1682539682539685
adrb2,fp,EF1,7.084405443593367
fabp4,fp,EF1,7.046581972171809
esr1,fp,EF1,6.957843028419183
pgh1,fp,EF1,6.82915445566048
hs90a,fp,EF1,6.807936507936508
egfr,fp,EF1,6.791307900821175
aofb,fp,EF1,6.640221088435374
ital,fp,EF1,6.251805337519623
fa7,fp,EF1,6.187274909963985
aces,fp,EF1,6.158832133536008
cah2,fp,EF1,6.084700261998397
casp3,fp,EF1,6.07936507936508
prgr,fp,EF1,5.987681033985344
try1,fp,EF1,5.7457973517559005
akt2,fp,EF1,5.67357171130756
andr,fp,EF1,5.4351560863188775
kif11,fp,EF1,5.228597041685343
thrb,fp,EF1,4.927727633647161
urok,fp,EF1,4.898904870872834
dyr,fp,EF1,4.530535377993004
dpp4,fp,EF1,4.402668001780151
hdac8,fp,EF1,4.3972836190869655
xiap,fp,EF1,4.04
rxra,fp,EF1,3.992016692370498
pygm,fp,EF1,3.936406995230525
nos1,fp,EF1,3.2759146341463414
dhi1,fp,EF1,3.200494845360825
inha,fp,EF1,2.9259032455603182
gria2,fp,EF1,2.790730132883603
fpps,fp,EF1,2.404107441471572
fgfr1,fp,EF1,1.5192307692307694
grik1,fp,EF1,1.3913793103448275
aldr,fp,EF1,1.3866174710809733
ada,fp,EF1,1.1518682201687422
pur2,fp,EF1,1.0781462090362615
hivint,fp,EF1,1.014923076923077
fkb1a,fp,EF1,0.8131026867868973
ampc,fp,EF1,0.0
sahh,fp,EF1,0.0
comt,fp,EF1,0.0
glcm,fp,EF1,0.0
