target,feat,metric,value
gcr,prop,ROC,0.7376024881991261
fnta,prop,ROC,0.70565794361557
pa2ga,prop,ROC,0.6503455264294495
try1,prop,ROC,0.9091220825847334
comt,prop,ROC,0.5328504661825161
aa2ar,prop,ROC,0.6097003961024
andr,prop,ROC,0.6576901937213756
mp2k1,prop,ROC,0.7759158250272524
hxk4,prop,ROC,0.5346076353197887
drd3,prop,ROC,0.5896201116155692
hivpr,prop,ROC,0.81262458774313
cp3a4,prop,ROC,0.790580658111494
hdac8,prop,ROC,0.6879537092586361
ampc,prop,ROC,0.4892639912822053
lkha4,prop,ROC,0.6190621989043361
kit,prop,ROC,0.9297799711834964
nram,prop,ROC,0.6985027423440784
fak1,prop,ROC,0.6791870901100185
wee1,prop,ROC,0.7938512372695998
hdac2,prop,ROC,0.7142867276179236
cdk2,prop,ROC,0.661350263787403
ital,prop,ROC,0.7491621270564064
casp3,prop,ROC,0.7986339995247775
tryb1,prop,ROC,0.7907269795128298
abl1,prop,ROC,0.8805858956731952
tysy,prop,ROC,0.8837556431688942
hs90a,prop,ROC,0.7141502721896582
mcr,prop,ROC,0.7612699244551675
src,prop,ROC,0.8624507992131001
jak2,prop,ROC,0.7030463070407726
fa10,prop,ROC,0.8118773760825339
pde5a,prop,ROC,0.6467416618746405
akt2,prop,ROC,0.8791650263460723
fkb1a,prop,ROC,0.5585845053437646
kif11,prop,ROC,0.638491788636816
hivrt,prop,ROC,0.6183019111589809
pur2,prop,ROC,0.9931945775708613
sahh,prop,ROC,0.7584946431539659
cah2,prop,ROC,0.6764961325338725
pparg,prop,ROC,0.8659954982370573
dpp4,prop,ROC,0.5431953098673931
parp1,prop,ROC,0.5719590931128785
egfr,prop,ROC,0.7576138819710874
aldr,prop,ROC,0.5427168743034548
adrb1,prop,ROC,0.8820712366687445
grik1,prop,ROC,0.6112762919238847
ppard,prop,ROC,0.8758561158555017
ptn1,prop,ROC,0.8549395563965099
rxra,prop,ROC,0.7066888046300702
tgfr1,prop,ROC,0.5883543427362923
ace,prop,ROC,0.707791177928055
reni,prop,ROC,0.9529738245418847
plk1,prop,ROC,0.7514112610141196
mapk2,prop,ROC,0.7508575222504866
esr1,prop,ROC,0.9446026141054514
gria2,prop,ROC,0.6472646350482304
urok,prop,ROC,0.8453748590130143
lck,prop,ROC,0.835142552355558
pgh2,prop,ROC,0.5570041329878247
kpcb,prop,ROC,0.7856405467419099
thb,prop,ROC,0.6988460687325068
nos1,prop,ROC,0.6887507397773098
bace1,prop,ROC,0.8325925320666107
prgr,prop,ROC,0.7278788922348427
fa7,prop,ROC,0.9179544031495792
ppara,prop,ROC,0.92305570304366
ada,prop,ROC,0.6373302949645105
fpps,prop,ROC,0.7147607861670187
cp2c9,prop,ROC,0.7836079281868803
fabp4,prop,ROC,0.7401849632838664
cxcr4,prop,ROC,0.7062016974634113
igf1r,prop,ROC,0.861636500001882
braf,prop,ROC,0.8019346657734283
thrb,prop,ROC,0.8725224805176894
rock1,prop,ROC,0.7014308656957616
esr2,prop,ROC,0.9501353563775812
mk10,prop,ROC,0.6616642803834707
aofb,prop,ROC,0.5484246071823622
pnph,prop,ROC,0.6642203970463021
xiap,prop,ROC,0.7494858560218417
fgfr1,prop,ROC,0.5633678522434503
