target,feat,metric,value
ppard,fp,EF1,43.46707818930041
kit,fp,EF1,42.70013962375074
src,fp,EF1,41.89196456225261
csf1r,fp,EF1,41.67391663454656
igf1r,fp,EF1,40.83517699115045
lck,fp,EF1,39.93587487781036
plk1,fp,EF1,38.89769585253456
egfr,fp,EF1,38.268734606936036
jak2,fp,EF1,38.15179006926153
cp2c9,fp,EF1,37.98403236108154
vgfr2,fp,EF1,37.41935483870968
ppara,fp,EF1,37.085038756882064
wee1,fp,EF1,36.90765844050516
akt2,fp,EF1,36.53061527057079
pparg,fp,EF1,36.35960228607218
abl1,fp,EF1,36.08799926206069
prgr,fp,EF1,35.93902235568902
akt1,fp,EF1,35.90440219900122
esr2,fp,EF1,35.08595496098824
try1,fp,EF1,34.84230818534113
adrb1,fp,EF1,34.31291937373522
fak1,fp,EF1,34.303827751196174
mk01,fp,EF1,34.294964028776974
esr1,fp,EF1,34.095518198919116
mp2k1,fp,EF1,33.80180047225502
adrb2,fp,EF1,33.78506390800667
urok,fp,EF1,32.63170488534397
thrb,fp,EF1,32.58981678256605
fa7,fp,EF1,32.325422297297294
braf,fp,EF1,31.623834758055157
lkha4,fp,EF1,31.214973804292715
pa2ga,fp,EF1,27.77224780864656
met,fp,EF1,27.638920293951386
mcr,fp,EF1,27.628957973517558
cp3a4,fp,EF1,27.27937915742794
mk14,fp,EF1,27.02855008130796
bace1,fp,EF1,26.661038306451612
kpcb,fp,EF1,26.474686379928315
tgfr1,fp,EF1,25.786876724379226
gcr,fp,EF1,25.299136789944676
mk10,fp,EF1,24.731182795698924
fabp4,fp,EF1,24.66303690260133
mapk2,fp,EF1,24.46146844660194
tryb1,fp,EF1,23.05263157894737
cdk2,fp,EF1,21.82324367620081
mmp13,fp,EF1,20.947163477677073
tysy,fp,EF1,20.90976828714221
fa10,fp,EF1,20.209643605870024
dyr,fp,EF1,18.957399767060817
hivpr,fp,EF1,18.450374324613083
ptn1,fp,EF1,17.833918128654968
andr,fp,EF1,17.429776927979606
ada17,fp,EF1,17.416751713886363
hs90a,fp,EF1,17.159032258064514
fnta,fp,EF1,16.280976937401515
rock1,fp,EF1,15.957559681697614
xiap,fp,EF1,14.845400029252595
kith,fp,EF1,14.09717868338558
casp3,fp,EF1,13.803243243243244
pur2,fp,EF1,13.55326814204838
ace,fp,EF1,13.347767137776579
hxk4,fp,EF1,12.675558412341314
hdac2,fp,EF1,12.189472015221183
parp1,fp,EF1,11.480941402830622
hivrt,fp,EF1,11.463121118012424
drd3,fp,EF1,11.308802736602052
aa2ar,fp,EF1,11.18764344952107
pde5a,fp,EF1,11.15224060150376
ada,fp,EF1,11.134726128297844
reni,fp,EF1,10.539718874065596
rxra,fp,EF1,9.341168091168091
hdac8,fp,EF1,9.014617780972921
dhi1,fp,EF1,8.881277619609083
aofb,fp,EF1,8.451190476190478
hmdh,fp,EF1,8.437465544488957
thb,fp,EF1,8.340811965811966
pyrd,fp,EF1,8.309423034083315
def,fp,EF1,8.212358106660956
pgh1,fp,EF1,8.034887477118552
aces,fp,EF1,7.992865908076752
pgh2,fp,EF1,7.544303398498137
cah2,fp,EF1,6.235592814371257
dpp4,fp,EF1,6.031484428279154
ital,fp,EF1,5.163524135603028
cxcr4,fp,EF1,4.967213114754098
pnph,fp,EF1,4.833515283842796
comt,fp,EF1,4.665116279069768
pygm,fp,EF1,4.441591784338896
nos1,fp,EF1,4.211890243902439
gria2,fp,EF1,3.7127371273712737
aldr,fp,EF1,3.6582600195503425
hivint,fp,EF1,3.3463836801978157
inha,fp,EF1,2.9259032455603182
fkb1a,fp,EF1,2.566204287515763
kif11,fp,EF1,2.5409308643740616
sahh,fp,EF1,2.147953216374269
glcm,fp,EF1,1.2935400919504405
fgfr1,fp,EF1,0.8689492325855961
grik1,fp,EF1,0.664571877454831
fpps,fp,EF1,0.0
ampc,fp,EF1,0.0
nram,fp,EF1,0.0
