target,feat,metric,value
ppard,fp,EF1,43.29525985151343
src,fp,EF1,42.26740294511379
kit,fp,EF1,41.627868490732574
lck,fp,EF1,39.04155027932961
igf1r,fp,EF1,38.90237396639103
csf1r,fp,EF1,38.2870908175256
fak1,fp,EF1,38.13817663817664
ppara,fp,EF1,37.24083563263698
cp2c9,fp,EF1,36.82736009044658
plk1,fp,EF1,36.7709549071618
pparg,fp,EF1,36.454979858313656
vgfr2,fp,EF1,36.4324505327245
wee1,fp,EF1,36.387351778656125
abl1,fp,EF1,36.24023809523809
esr2,fp,EF1,35.253308128544425
prgr,fp,EF1,35.23519993075991
egfr,fp,EF1,34.989999402056924
try1,fp,EF1,34.28943580886586
esr1,fp,EF1,34.253996447602134
akt2,fp,EF1,34.041430267845364
adrb2,fp,EF1,33.65092585706849
mk01,fp,EF1,33.54859335038363
adrb1,fp,EF1,33.18636096413874
urok,fp,EF1,33.16181758744688
jak2,fp,EF1,32.69778082818577
fa7,fp,EF1,32.31132452981192
akt1,fp,EF1,32.260085939365005
thrb,fp,EF1,32.03022961870655
mp2k1,fp,EF1,31.312372093023253
met,fp,EF1,30.451178451178453
braf,fp,EF1,29.83446519524618
mcr,fp,EF1,27.61552899338141
cp3a4,fp,EF1,27.468477242929385
lkha4,fp,EF1,27.107740408991045
mk14,fp,EF1,26.99902238694631
tgfr1,fp,EF1,25.786516853932582
gcr,fp,EF1,25.77252201079239
mapk2,fp,EF1,25.755000000000003
kpcb,fp,EF1,25.374243733794295
tryb1,fp,EF1,24.75785869903517
pa2ga,fp,EF1,24.684189723320163
mk10,fp,EF1,24.360188010225116
tysy,fp,EF1,21.92983779705771
bace1,fp,EF1,21.378670447385005
cdk2,fp,EF1,21.040835260395752
dyr,fp,EF1,19.821092278719394
fa10,fp,EF1,19.603605523354926
mmp13,fp,EF1,18.727136856752647
andr,fp,EF1,18.246595432641943
fabp4,fp,EF1,17.616454930429523
rock1,fp,EF1,17.453119020283197
ada17,fp,EF1,16.49011346750157
hivpr,fp,EF1,16.4594083522964
ptn1,fp,EF1,15.998182762201454
fnta,fp,EF1,14.696263134109138
reni,fp,EF1,14.21311475409836
hdac2,fp,EF1,14.043163201008191
drd3,fp,EF1,13.564570239510786
hxk4,fp,EF1,13.467780813112647
rxra,fp,EF1,12.641386192506577
pur2,fp,EF1,12.398681403917006
ace,fp,EF1,12.262495417328608
pde5a,fp,EF1,11.767686756446645
aa2ar,fp,EF1,11.646121258420724
ada,fp,EF1,11.134726128297844
parp1,fp,EF1,10.292750135481441
cxcr4,fp,EF1,9.374127617148554
hmdh,fp,EF1,9.13057501946391
hivrt,fp,EF1,8.634027846351339
thb,fp,EF1,7.876059322033898
def,fp,EF1,7.85064935064935
hdac8,fp,EF1,7.81739310059905
dhi1,fp,EF1,7.801206185567011
hs90a,fp,EF1,7.780498866213152
pyrd,fp,EF1,7.667584940312213
kith,fp,EF1,7.5683060109289615
ital,fp,EF1,7.033281004709576
pgh2,fp,EF1,6.905355832721937
cah2,fp,EF1,6.80906934080773
kif11,fp,EF1,6.797176154190946
pgh1,fp,EF1,6.427439487680452
aofb,fp,EF1,6.03656462585034
casp3,fp,EF1,5.319444444444445
dpp4,fp,EF1,4.96471072541166
pygm,fp,EF1,4.920508744038156
gria2,fp,EF1,4.534936465935855
xiap,fp,EF1,4.04
aces,fp,EF1,3.9348094186480056
pnph,fp,EF1,3.075873362445415
aldr,fp,EF1,2.311029118468289
sahh,fp,EF1,2.147953216374269
grik1,fp,EF1,2.087068965517241
nos1,fp,EF1,1.871951219512195
hivint,fp,EF1,1.5223846153846154
fgfr1,fp,EF1,1.0128205128205128
fpps,fp,EF1,0.9616429765886287
nram,fp,EF1,0.9077984234234234
fkb1a,fp,EF1,0.40655134339344867
glcm,fp,EF1,0.0
comt,fp,EF1,0.0
ampc,fp,EF1,0.0
inha,fp,EF1,0.0
