target,feat,metric,value
aa2ar,fp,ROC,0.9306636837403394
adrb1,fp,ROC,0.8551350816636027
adrb2,fp,ROC,0.8414099752382502
cxcr4,fp,ROC,0.9253543749459794
drd3,fp,ROC,0.8604258477405571
andr,fp,ROC,0.7703156029299141
esr1,fp,ROC,0.8617570091395879
esr2,fp,ROC,0.8590806814529091
gcr,fp,ROC,0.8692536150982525
mcr,fp,ROC,0.8263225289720366
ppara,fp,ROC,0.9041097642728111
ppard,fp,ROC,0.8931904610456134
pparg,fp,ROC,0.9127020703469781
prgr,fp,ROC,0.8411366026453924
rxra,fp,ROC,0.6849204747327666
thb,fp,ROC,0.8905747357089968
ace,fp,ROC,0.8452824473417944
ada17,fp,ROC,0.8669345105843527
bace1,fp,ROC,0.9368705079728444
casp3,fp,ROC,0.8823825804577974
dpp4,fp,ROC,0.763456536264873
fa10,fp,ROC,0.8993236288535548
fa7,fp,ROC,0.8566744148146879
hivpr,fp,ROC,0.8795915788491934
lkha4,fp,ROC,0.8734399244417459
mmp13,fp,ROC,0.8411525851570038
reni,fp,ROC,0.9662192060997303
thrb,fp,ROC,0.8814327753310629
try1,fp,ROC,0.8917670180369309
tryb1,fp,ROC,0.881730396694879
urok,fp,ROC,0.8824541091982951
abl1,fp,ROC,0.8913149023302166
akt1,fp,ROC,0.904143505207335
akt2,fp,ROC,0.8888411513536429
braf,fp,ROC,0.9210576983016636
cdk2,fp,ROC,0.8540186290705583
csf1r,fp,ROC,0.8809851573665617
egfr,fp,ROC,0.8965404745781841
fak1,fp,ROC,0.9016892703806907
fgfr1,fp,ROC,0.5593987352360558
igf1r,fp,ROC,0.9515167579029362
jak2,fp,ROC,0.9079229769803724
kit,fp,ROC,0.8730450486035366
kpcb,fp,ROC,0.9285293200420187
lck,fp,ROC,0.8502690420846638
mapk2,fp,ROC,0.9521556227959425
met,fp,ROC,0.9120470940461389
mk01,fp,ROC,0.8858753101235521
mk10,fp,ROC,0.8888412433015911
mk14,fp,ROC,0.8526702190592069
mp2k1,fp,ROC,0.8804523542336695
plk1,fp,ROC,0.8986785401103874
rock1,fp,ROC,0.8614544572513134
src,fp,ROC,0.9073892783256604
tgfr1,fp,ROC,0.8666130486905088
vgfr2,fp,ROC,0.9276903307475669
wee1,fp,ROC,0.9782239613703052
aces,fp,ROC,0.8293004517215717
ada,fp,ROC,0.8421959399133967
aldr,fp,ROC,0.6611593993790799
ampc,fp,ROC,0.4638569618283275
aofb,fp,ROC,0.7116779513709971
cah2,fp,ROC,0.697576861414352
comt,fp,ROC,0.5733600682391689
cp2c9,fp,ROC,0.9088101226369764
cp3a4,fp,ROC,0.9004292583209896
def,fp,ROC,0.7842654072555417
dhi1,fp,ROC,0.6979151416533055
dyr,fp,ROC,0.8676619599843243
fabp4,fp,ROC,0.8322057332473038
fkb1a,fp,ROC,0.9166427993588487
fnta,fp,ROC,0.9640932834839618
fpps,fp,ROC,0.7318334856616124
glcm,fp,ROC,0.6420721893185654
gria2,fp,ROC,0.8270378940721368
grik1,fp,ROC,0.751906472960397
hdac2,fp,ROC,0.8437052613829634
hdac8,fp,ROC,0.8326679608304108
hivint,fp,ROC,0.6785798966830257
hivrt,fp,ROC,0.8108705132552514
hmdh,fp,ROC,0.8849957986926255
hs90a,fp,ROC,0.9069008498583568
hxk4,fp,ROC,0.891358091481538
inha,fp,ROC,0.7696775996791794
ital,fp,ROC,0.8904273077929841
kif11,fp,ROC,0.8383698181049068
kith,fp,ROC,0.6705008035695403
nos1,fp,ROC,0.8105796889706218
nram,fp,ROC,0.8486741117221284
pa2ga,fp,ROC,0.8951718817931501
parp1,fp,ROC,0.8575280718430841
pde5a,fp,ROC,0.9093075921616505
pgh1,fp,ROC,0.7299773670807539
pgh2,fp,ROC,0.7811769420074179
pnph,fp,ROC,0.8236507847177025
ptn1,fp,ROC,0.959328519963526
pur2,fp,ROC,0.9762024738691861
pygm,fp,ROC,0.7568071910307289
pyrd,fp,ROC,0.8514927618226555
sahh,fp,ROC,0.8561962615410188
tysy,fp,ROC,0.9251158429851636
xiap,fp,ROC,0.9385049600209374
aa2ar,fp,EF1,17.539808986012474
adrb1,fp,EF1,9.179252316540634
adrb2,fp,EF1,9.844654383790022
cxcr4,fp,EF1,6.624824355971897
drd3,fp,EF1,11.76639517836781
andr,fp,EF1,4.213792224346718
esr1,fp,EF1,11.347575608520026
esr2,fp,EF1,11.76920911905432
gcr,fp,EF1,6.235306762000657
mcr,fp,EF1,8.862118595279217
ppara,fp,EF1,15.313722471747319
ppard,fp,EF1,18.08230452674897
pparg,fp,EF1,19.707090477308906
prgr,fp,EF1,4.294600155711266
rxra,fp,EF1,6.850189933523267
thb,fp,EF1,7.758928571428571
