target,feat,metric,value
cp2c9,fp,EF1,35.78205947058406
hxk4,fp,EF1,30.896673630081953
plk1,fp,EF1,30.46986175115207
wee1,fp,EF1,30.264279921214232
cp3a4,fp,EF1,28.381576295101794
ptn1,fp,EF1,25.85918128654971
fabp4,fp,EF1,24.66303690260133
igf1r,fp,EF1,23.968473451327434
pyrd,fp,EF1,21.90666072621965
vgfr2,fp,EF1,21.451612903225804
akt1,fp,EF1,21.162197322590124
pde5a,fp,EF1,20.874706766917296
pa2ga,fp,EF1,20.63081265785173
pparg,fp,EF1,19.98390354654349
fnta,fp,EF1,19.89239363987967
hs90a,fp,EF1,19.61032258064516
egfr,fp,EF1,18.953284963056646
ital,fp,EF1,18.932921830544437
ppard,fp,EF1,18.77777777777778
nos1,fp,EF1,18.71951219512195
tgfr1,fp,EF1,18.623855412051665
aa2ar,fp,EF1,17.849947975640358
mapk2,fp,EF1,17.612257281553397
jak2,fp,EF1,17.102526582772413
ppara,fp,EF1,16.789743914807303
src,fp,EF1,16.6837184448506
csf1r,fp,EF1,16.45944606574528
nram,fp,EF1,16.34037162162162
abl1,fp,EF1,15.809980629093257
braf,fp,EF1,15.611766526128497
hdac2,fp,EF1,15.552084984937371
tysy,fp,EF1,15.028895956383463
reni,fp,EF1,14.492113451840194
met,fp,EF1,14.43824194460147
bace1,fp,EF1,14.338709677419356
fak1,fp,EF1,14.073365231259967
kpcb,fp,EF1,13.848297491039427
parp1,fp,EF1,13.642059784539914
lkha4,fp,EF1,13.553870204495523
rock1,fp,EF1,13.464190981432361
akt2,fp,EF1,13.235730170496662
cdk2,fp,EF1,13.043777829453358
mk10,fp,EF1,12.903225806451612
hmdh,fp,EF1,12.824947627623214
ace,fp,EF1,12.58503758704649
lck,fp,EF1,12.18631476050831
aofb,fp,EF1,12.07312925170068
mk14,fp,EF1,11.927578780820111
mk01,fp,EF1,11.674881371498545
aces,fp,EF1,11.461468094600624
fa10,fp,EF1,11.367924528301888
fkb1a,fp,EF1,11.364618987569807
drd3,fp,EF1,11.308802736602052
sahh,fp,EF1,11.276754385964914
esr2,fp,EF1,11.133043401082807
xiap,fp,EF1,10.938715811028228
cxcr4,fp,EF1,10.762295081967213
urok,fp,EF1,10.537321369225657
adrb1,fp,EF1,10.490574076046437
esr1,fp,EF1,10.244662745215132
adrb2,fp,EF1,9.844654383790022
ada,fp,EF1,9.59890183473952
mp2k1,fp,EF1,9.598042109405746
mmp13,fp,EF1,9.365799054922922
casp3,fp,EF1,9.202162162162162
gcr,fp,EF1,8.729983821882318
mcr,fp,EF1,8.340817501439263
ada17,fp,EF1,8.239062188006123
hivrt,fp,EF1,8.18794365572316
hdac8,fp,EF1,8.156082754213594
cah2,fp,EF1,7.914406264394287
thrb,fp,EF1,7.675138010386933
fa7,fp,EF1,7.670439189189189
kif11,fp,EF1,7.622792593122185
hivpr,fp,EF1,7.6098820171555905
def,fp,EF1,7.58063825230242
gria2,fp,EF1,7.425474254742547
kit,fp,EF1,7.183201058201058
tryb1,fp,EF1,7.093117408906884
dyr,fp,EF1,7.086878417592829
pur2,fp,EF1,7.027620518099161
try1,fp,EF1,6.782281364322129
kith,fp,EF1,6.265412748171369
prgr,fp,EF1,6.102852852852852
thb,fp,EF1,5.957722832722832
dpp4,fp,EF1,5.660316155769668
pgh2,fp,EF1,5.658227548873603
pgh1,fp,EF1,5.624421233982987
rxra,fp,EF1,4.981956315289649
pnph,fp,EF1,4.833515283842796
pygm,fp,EF1,4.441591784338896
inha,fp,EF1,4.388854868340477
fpps,fp,EF1,2.884928929765886
andr,fp,EF1,2.873040152963671
dhi1,fp,EF1,2.509926283802567
hivint,fp,EF1,1.4341644343704925
fgfr1,fp,EF1,1.3034238488783942
aldr,fp,EF1,0.9145650048875856
grik1,fp,EF1,0.664571877454831
ampc,fp,EF1,0.0
glcm,fp,EF1,0.0
comt,fp,EF1,0.0
