target,feat,metric,value
bace1,prop,EF1,32.93422379032258
ptn1,prop,EF1,32.54690058479532
tryb1,prop,EF1,28.963562753036438
cp2c9,prop,EF1,28.625647576467248
akt2,prop,EF1,27.53031875463306
cp3a4,prop,EF1,26.72828058859101
kpcb,prop,EF1,25.660080645161287
casp3,prop,EF1,24.730810810810812
fa7,prop,EF1,24.107094594594596
thrb,prop,EF1,24.088125447983604
src,prop,EF1,23.74689851639319
adrb2,prop,EF1,23.71666737913051
try1,prop,EF1,23.671491820575273
hivpr,prop,EF1,23.260394090173694
abl1,prop,EF1,22.683885250438152
ppard,prop,EF1,22.255144032921812
igf1r,prop,EF1,22.19303097345133
ital,prop,EF1,21.94497757631287
xiap,prop,EF1,21.877431622056456
met,prop,EF1,21.451102317693614
fa10,prop,EF1,20.967505241090148
mmp13,prop,EF1,19.839380793761457
akt1,prop,EF1,19.497754836543706
tysy,prop,EF1,19.276192639709222
reni,prop,EF1,19.234986945169712
wee1,prop,EF1,19.19198238906268
lck,prop,EF1,19.086999022482892
braf,prop,EF1,18.413878466715662
adrb1,prop,EF1,18.139951006496965
kit,prop,EF1,17.55893592004703
plk1,prop,EF1,17.503963133640553
thb,prop,EF1,17.277396214896214
cah2,prop,EF1,16.78813450023031
hmdh,prop,EF1,16.537432467198354
esr2,prop,EF1,16.193517674302267
esr1,prop,EF1,15.3669941178227
pa2ga,prop,EF1,15.076363096122419
cxcr4,prop,EF1,14.901639344262293
ada17,prop,EF1,14.80945355312493
fnta,prop,EF1,14.564073914911903
ppara,prop,EF1,14.39120906983483
hdac2,prop,EF1,14.2911051212938
aces,prop,EF1,14.025217536813921
hs90a,prop,EF1,13.890645161290323
pparg,prop,EF1,13.877710796210758
egfr,prop,EF1,13.76225787126406
vgfr2,prop,EF1,13.548387096774194
hdac8,prop,EF1,13.30729291476955
pde5a,prop,EF1,13.296902255639099
urok,prop,EF1,12.916716517115322
mk14,prop,EF1,11.708724124291303
ace,prop,EF1,11.186700077374656
pygm,prop,EF1,10.65982028241335
mp2k1,prop,EF1,10.01534828807556
rxra,prop,EF1,9.963912630579298
csf1r,prop,EF1,9.80562744342272
nos1,prop,EF1,9.359756097560975
jak2,prop,EF1,9.209052775338991
nram,prop,EF1,9.077984234234235
rock1,prop,EF1,8.976127320954907
def,prop,EF1,8.84407796101949
fabp4,prop,EF1,8.808227465214761
fak1,prop,EF1,7.9162679425837315
kith,prop,EF1,7.831765935214211
dyr,prop,EF1,7.441222338472471
gcr,prop,EF1,7.304680340758674
aa2ar,prop,EF1,7.290823821036202
mcr,prop,EF1,6.776914219919401
drd3,prop,EF1,6.28266818700114
hivrt,prop,EF1,6.186446317657498
aofb,prop,EF1,6.03656462585034
inha,prop,EF1,5.8518064911206364
ada,prop,EF1,5.759341100843711
hivint,prop,EF1,5.258602926025138
cdk2,prop,EF1,5.142258567380651
pur2,prop,EF1,5.0197289414994
fkb1a,prop,EF1,4.765807962529274
grik1,prop,EF1,4.652003142183817
dhi1,prop,EF1,4.633710062404739
lkha4,prop,EF1,4.517956734831841
parp1,prop,EF1,4.457306662275418
mapk2,prop,EF1,4.403064320388349
mk10,prop,EF1,4.301075268817204
andr,prop,EF1,4.213792224346718
glcm,prop,EF1,4.204005298838931
prgr,prop,EF1,4.068568568568568
pgh1,prop,EF1,4.017443738559276
kif11,prop,EF1,3.557303210123686
gria2,prop,EF1,2.7001724562700176
fpps,prop,EF1,2.404107441471572
dpp4,prop,EF1,2.3198017031842904
pyrd,prop,EF1,2.266206282022722
pnph,prop,EF1,2.197052401746725
mk01,prop,EF1,2.1890402571559773
pgh2,prop,EF1,2.0746834345869876
aldr,prop,EF1,1.8291300097751713
ampc,prop,EF1,1.6479421579532814
tgfr1,prop,EF1,1.0744531968491344
fgfr1,prop,EF1,0.8689492325855961
comt,prop,EF1,0.0
sahh,prop,EF1,0.0
hxk4,prop,EF1,0.0
