target,feat,metric,value
aa2ar,prop,ROC,0.6563616041848122
adrb1,prop,ROC,0.6516328230707147
adrb2,prop,ROC,0.6814632498079597
cxcr4,prop,ROC,0.8210111580898098
drd3,prop,ROC,0.638647826893966
andr,prop,ROC,0.6129463242961277
esr1,prop,ROC,0.7665837126079899
esr2,prop,ROC,0.7660053818571115
gcr,prop,ROC,0.6330772449495933
mcr,prop,ROC,0.6178487020105055
ppara,prop,ROC,0.6433450767346963
ppard,prop,ROC,0.6393805373736743
pparg,prop,ROC,0.6354664541207211
prgr,prop,ROC,0.6312177233867118
rxra,prop,ROC,0.6208857085884623
thb,prop,ROC,0.7305949245369789
ace,prop,ROC,0.6671256141304861
ada17,prop,ROC,0.6003860584063587
bace1,prop,ROC,0.6927984072740587
casp3,prop,ROC,0.5907712845848669
dpp4,prop,ROC,0.622339821718765
fa10,prop,ROC,0.6455988996691573
fa7,prop,ROC,0.7512023223065876
hivpr,prop,ROC,0.6884682528433671
lkha4,prop,ROC,0.5990305197795505
mmp13,prop,ROC,0.5838829714844536
reni,prop,ROC,0.7510819646610103
thrb,prop,ROC,0.6635481280290045
try1,prop,ROC,0.65789163198174
tryb1,prop,ROC,0.6319109566989446
urok,prop,ROC,0.7445529711379104
abl1,prop,ROC,0.6590322326278242
akt1,prop,ROC,0.7491974994548231
akt2,prop,ROC,0.7555063345317583
braf,prop,ROC,0.6240199934618099
cdk2,prop,ROC,0.6387979563040866
csf1r,prop,ROC,0.6549716228030364
egfr,prop,ROC,0.633518111887067
fak1,prop,ROC,0.5911776791584482
fgfr1,prop,ROC,0.47982441564196304
igf1r,prop,ROC,0.7391866190272792
jak2,prop,ROC,0.6706105578041546
kit,prop,ROC,0.6634725095082405
kpcb,prop,ROC,0.7343227163897555
lck,prop,ROC,0.6678720383661519
mapk2,prop,ROC,0.6907681790278475
met,prop,ROC,0.6471274326846175
mk01,prop,ROC,0.600186153994287
mk10,prop,ROC,0.6076634495641344
mk14,prop,ROC,0.6207632373730883
mp2k1,prop,ROC,0.6585007014503518
plk1,prop,ROC,0.6550727813131121
rock1,prop,ROC,0.7040674632108703
src,prop,ROC,0.6253853285158388
tgfr1,prop,ROC,0.5403536367573217
vgfr2,prop,ROC,0.6414802075371182
wee1,prop,ROC,0.6685316851545905
aces,prop,ROC,0.7123491832946104
ada,prop,ROC,0.6434217978242037
aldr,prop,ROC,0.5561398643780946
ampc,prop,ROC,0.5334760979630284
aofb,prop,ROC,0.6335329056783083
cah2,prop,ROC,0.6368269951371788
comt,prop,ROC,0.7267982100299174
cp2c9,prop,ROC,0.722841682608889
cp3a4,prop,ROC,0.7336674535633272
def,prop,ROC,0.6102214972977629
dhi1,prop,ROC,0.5671782634221394
dyr,prop,ROC,0.7370690429616751
fabp4,prop,ROC,0.7011408403829632
fkb1a,prop,ROC,0.5906742102781706
fnta,prop,ROC,0.7432494100329609
fpps,prop,ROC,0.8464759358288769
glcm,prop,ROC,0.6555794409834946
gria2,prop,ROC,0.6477215734040267
grik1,prop,ROC,0.619714141858728
hdac2,prop,ROC,0.6800696514241087
hdac8,prop,ROC,0.6806525237439129
hivint,prop,ROC,0.6194531600179293
hivrt,prop,ROC,0.582617986833847
hmdh,prop,ROC,0.6811156912259853
hs90a,prop,ROC,0.7389026894541602
hxk4,prop,ROC,0.5991720520702171
inha,prop,ROC,0.6867189079878664
ital,prop,ROC,0.6510698649757692
kif11,prop,ROC,0.6348921658938209
kith,prop,ROC,0.5610576171220483
nos1,prop,ROC,0.731092546583851
nram,prop,ROC,0.718273355478665
pa2ga,prop,ROC,0.5753288342151386
parp1,prop,ROC,0.5914258578743613
pde5a,prop,ROC,0.6207758538163922
pgh1,prop,ROC,0.575448348596779
pgh2,prop,ROC,0.5381704630314199
pnph,prop,ROC,0.5712893762659774
ptn1,prop,ROC,0.7118988796322896
pur2,prop,ROC,0.8159545390347853
pygm,prop,ROC,0.5372518638910297
pyrd,prop,ROC,0.531444878289773
sahh,prop,ROC,0.6339958592132504
tysy,prop,ROC,0.7300529640889226
xiap,prop,ROC,0.6673483364696544
aa2ar,prop,EF1,2.8118934485241183
adrb1,prop,EF1,5.377831715210355
adrb2,prop,EF1,6.6706896551724135
cxcr4,prop,EF1,18.122766122766123
drd3,prop,EF1,3.248674651482427
andr,prop,EF1,3.056191687871077
esr1,prop,EF1,11.267463289935199
esr2,prop,EF1,14.009912314144112
gcr,prop,EF1,1.307608695652174
mcr,prop,EF1,4.3719165085389
ppara,prop,EF1,3.8663967611336028
ppard,prop,EF1,0.0
pparg,prop,EF1,2.7079141922191248
prgr,prop,EF1,2.8154745838956368
rxra,prop,EF1,2.489857250187829
thb,prop,EF1,1.2069757727652464
ace,prop,EF1,7.643781237295837
ada17,prop,EF1,0.9235777983988928
bace1,prop,EF1,5.9892050040355125
casp3,prop,EF1,7.322080439347441
dpp4,prop,EF1,2.2729484627294845
fa10,prop,EF1,4.801223241590214
fa7,prop,EF1,17.640697674418604
hivpr,prop,EF1,9.68768328445748
lkha4,prop,EF1,4.10166910331384
mmp13,prop,EF1,2.859574784418674
reni,prop,EF1,8.906739811912226
thrb,prop,EF1,3.0230010952902515
try1,prop,EF1,3.1316137566137567
tryb1,prop,EF1,3.8008385744234796
urok,prop,EF1,8.892668178382463
abl1,prop,EF1,5.824755580151264
akt1,prop,EF1,10.004999999999999
akt2,prop,EF1,14.672222222222224
braf,prop,EF1,4.282621082621082
cdk2,prop,EF1,3.7348981427928796
csf1r,prop,EF1,5.295874822190612
egfr,prop,EF1,3.3007816925342697
fak1,prop,EF1,6.330882352941177
fgfr1,prop,EF1,0.8983050847457628
igf1r,prop,EF1,9.752998286693318
jak2,prop,EF1,5.1313131313131315
kit,prop,EF1,3.5730706075533667
kpcb,prop,EF1,16.558441558441558
lck,prop,EF1,7.248720911041426
mapk2,prop,EF1,4.214583333333334
met,prop,EF1,4.2484388938447815
mk01,prop,EF1,1.3067821067821068
mk10,prop,EF1,2.0073846153846153
mk14,prop,EF1,5.179611711882629
mp2k1,prop,EF1,5.649724747151453
plk1,prop,EF1,9.949084668192219
rock1,prop,EF1,11.16931216931217
src,prop,EF1,3.926701570680628
tgfr1,prop,EF1,1.5327985739750445
vgfr2,prop,EF1,5.984853905784138
wee1,prop,EF1,3.978947368421053
aces,prop,EF1,5.113981762917933
ada,prop,EF1,6.500879765395894
aldr,prop,EF1,1.2836518046709129
ampc,prop,EF1,2.1421130952380953
aofb,prop,EF1,8.22248243559719
cah2,prop,EF1,4.864929963684874
comt,prop,EF1,0.0
cp2c9,prop,EF1,19.84285714285714
cp3a4,prop,EF1,24.59437963944857
def,prop,EF1,9.262152133580706
dhi1,prop,EF1,0.9462913047818707
dyr,prop,EF1,1.873631099134224
fabp4,prop,EF1,8.813238770685578
fkb1a,prop,EF1,0.0
fnta,prop,EF1,8.770442056917904
fpps,prop,EF1,1.1878342245989306
glcm,prop,EF1,5.633040935672514
gria2,prop,EF1,3.9374577417173766
grik1,prop,EF1,2.0978835978835977
hdac2,prop,EF1,4.1808608058608066
hdac8,prop,EF1,3.894276795005203
hivint,prop,EF1,2.0942562592047125
hivrt,prop,EF1,5.701096726313185
hmdh,prop,EF1,8.901960784313726
hs90a,prop,EF1,5.476598549769282
hxk4,prop,EF1,0.0
inha,prop,EF1,0.0
ital,prop,EF1,0.0
kif11,prop,EF1,1.7688338493292055
kith,prop,EF1,2.0241327300150833
nos1,prop,EF1,13.080246913580245
nram,prop,EF1,5.181863067807768
pa2ga,prop,EF1,2.4655826558265583
parp1,prop,EF1,2.650221105251593
pde5a,prop,EF1,2.9705102281977886
pgh1,prop,EF1,4.14621856728621
pgh2,prop,EF1,1.883787573928419
pnph,prop,EF1,0.0
ptn1,prop,EF1,0.0
pur2,prop,EF1,2.1342062193126026
pygm,prop,EF1,0.0
pyrd,prop,EF1,1.852064220183486
sahh,prop,EF1,0.0
tysy,prop,EF1,5.040566037735849
xiap,prop,EF1,3.9269230769230767
aa2ar,fp,ROC,0.9051437123663013
adrb1,fp,ROC,0.8796876483609087
adrb2,fp,ROC,0.857998113629513
cxcr4,fp,ROC,0.9399892545959961
drd3,fp,ROC,0.8703662147631352
andr,fp,ROC,0.750471468852038
esr1,fp,ROC,0.8946748539241256
esr2,fp,ROC,0.8949870371086949
gcr,fp,ROC,0.8740481426699362
mcr,fp,ROC,0.8086439700673549
ppara,fp,ROC,0.9187097032702259
ppard,fp,ROC,0.8910733182555344
pparg,fp,ROC,0.920241506674767
prgr,fp,ROC,0.8839041197577984
rxra,fp,ROC,0.7477046334081415
thb,fp,ROC,0.8820299761695722
ace,fp,ROC,0.92039918269939
ada17,fp,ROC,0.9301980004011369
bace1,fp,ROC,0.9259285815992352
casp3,fp,ROC,0.8899066987192866
dpp4,fp,ROC,0.8259180256951415
fa10,fp,ROC,0.8565187911230066
fa7,fp,ROC,0.8721269409084316
hivpr,fp,ROC,0.8983222238336881
lkha4,fp,ROC,0.9303785324162791
mmp13,fp,ROC,0.9119449497723164
reni,fp,ROC,0.8984004047637582
thrb,fp,ROC,0.883098925898065
try1,fp,ROC,0.8874559445488722
tryb1,fp,ROC,0.9057833213632456
urok,fp,ROC,0.8933948733935897
abl1,fp,ROC,0.8912987211777966
akt1,fp,ROC,0.9033187468198007
akt2,fp,ROC,0.8989406779661017
braf,fp,ROC,0.905388577574008
cdk2,fp,ROC,0.8703366709981619
csf1r,fp,ROC,0.8870420952308155
egfr,fp,ROC,0.8809400564220827
fak1,fp,ROC,0.8524993836291914
fgfr1,fp,ROC,0.5906447324692589
igf1r,fp,ROC,0.9508105526245917
jak2,fp,ROC,0.8886985580332253
kit,fp,ROC,0.8845536965369987
kpcb,fp,ROC,0.9214764565043894
lck,fp,ROC,0.8634013583462758
mapk2,fp,ROC,0.9301596768792901
met,fp,ROC,0.9078341820712217
mk01,fp,ROC,0.9162292436837483
mk10,fp,ROC,0.900732409713574
mk14,fp,ROC,0.8600107633980207
mp2k1,fp,ROC,0.8832523570794908
plk1,fp,ROC,0.9161462104180162
rock1,fp,ROC,0.8912764150973969
src,fp,ROC,0.9215348099289992
tgfr1,fp,ROC,0.9506622860230985
vgfr2,fp,ROC,0.9403570491677884
wee1,fp,ROC,0.9900312721265047
aces,fp,ROC,0.8570820084282904
ada,fp,ROC,0.8790011780794347
aldr,fp,ROC,0.7027953435716817
ampc,fp,ROC,0.448303014247027
aofb,fp,ROC,0.7344214777856972
cah2,fp,ROC,0.7055699868709465
comt,fp,ROC,0.6535450788499569
cp2c9,fp,ROC,0.879472164138156
cp3a4,fp,ROC,0.9347071163523522
def,fp,ROC,0.9001323965078782
dhi1,fp,ROC,0.678902475234162
dyr,fp,ROC,0.8637333912917482
fabp4,fp,ROC,0.7107033118426043
fkb1a,fp,ROC,0.8815794436586515
fnta,fp,ROC,0.970347269305282
fpps,fp,ROC,0.8692252673796792
glcm,fp,ROC,0.6212575434081093
gria2,fp,ROC,0.8608941749659669
grik1,fp,ROC,0.8119356527422108
hdac2,fp,ROC,0.940323446125075
hdac8,fp,ROC,0.9466776051691436
hivint,fp,ROC,0.7707518804372364
hivrt,fp,ROC,0.8325681353019881
hmdh,fp,ROC,0.9137102231464975
hs90a,fp,ROC,0.8296717673555908
hxk4,fp,ROC,0.8688222168728242
inha,fp,ROC,0.7706218402426693
ital,fp,ROC,0.8469798196972487
kif11,fp,ROC,0.8198865972406543
kith,fp,ROC,0.7753959920466477
nos1,fp,ROC,0.8796260869565218
nram,fp,ROC,0.9051657443103067
pa2ga,fp,ROC,0.943515318296232
parp1,fp,ROC,0.8680778610454187
pde5a,fp,ROC,0.9243820065695441
pgh1,fp,ROC,0.7286212585206795
pgh2,fp,ROC,0.7714532380248252
pnph,fp,ROC,0.8668764405950967
ptn1,fp,ROC,0.9512821986019344
pur2,fp,ROC,0.8785381375293893
pygm,fp,ROC,0.8320301736703178
pyrd,fp,ROC,0.8819430299931095
sahh,fp,ROC,0.8795652173913044
tysy,fp,ROC,0.8774118848565458
xiap,fp,ROC,0.9417636365963875
aa2ar,fp,EF1,19.683254139668826
adrb1,fp,EF1,9.28898205354516
adrb2,fp,EF1,8.894252873563218
cxcr4,fp,EF1,18.122766122766123
drd3,fp,EF1,15.37706001701682
andr,fp,EF1,5.348335453774385
esr1,fp,EF1,13.52095594792224
esr2,fp,EF1,13.42616596772144
gcr,fp,EF1,6.102173913043478
mcr,fp,EF1,6.557874762808349
ppara,fp,EF1,19.331983805668013
ppard,fp,EF1,16.07165233240303
pparg,fp,EF1,21.17096550280407
prgr,fp,EF1,9.150292397660818
rxra,fp,EF1,2.489857250187829
thb,fp,EF1,9.655806182121971
ace,fp,EF1,22.166965588157925
ada17,fp,EF1,19.626028215976472
bace1,fp,EF1,15.571933010492332
casp3,fp,EF1,12.647229849781944
dpp4,fp,EF1,5.303546413035464
fa10,fp,EF1,10.88277268093782
fa7,fp,EF1,9.408372093023255
hivpr,fp,EF1,11.70595063538612
lkha4,fp,EF1,20.508345516569197
mmp13,fp,EF1,23.09656556645852
reni,fp,EF1,19.594827586206897
thrb,fp,EF1,7.255202628696604
try1,fp,EF1,6.2632275132275135
tryb1,fp,EF1,6.651467505241089
urok,fp,EF1,10.944822373393801
abl1,fp,EF1,19.658550083010514
