target,feat,metric,value
wee1,fp,EF1,47.747368421052634
cp3a4,fp,EF1,42.63025804171085
hxk4,fp,EF1,42.077705827937095
cp2c9,fp,EF1,41.890476190476186
fnta,fp,EF1,41.15361272861478
igf1r,fp,EF1,32.18489434608795
vgfr2,fp,EF1,31.064241701451003
ptn1,fp,EF1,28.448
pde5a,fp,EF1,27.328694099419657
csf1r,fp,EF1,27.141358463726885
pa2ga,fp,EF1,25.888617886178864
sahh,fp,EF1,25.491156462585035
met,fp,EF1,25.49063336306869
hdac2,fp,EF1,24.48789900575615
mapk2,fp,EF1,24.23385416666667
ital,fp,EF1,24.129353233830845
tgfr1,fp,EF1,23.75837789661319
plk1,fp,EF1,23.21453089244851
nos1,fp,EF1,23.141975308641975
mmp13,fp,EF1,23.09656556645852
ace,fp,EF1,22.166965588157925
fabp4,fp,EF1,22.033096926713945
braf,fp,EF1,21.413105413105413
src,fp,EF1,21.20418848167539
pparg,fp,EF1,21.17096550280407
lck,fp,EF1,21.14210265720416
jak2,fp,EF1,20.525252525252526
lkha4,fp,EF1,20.508345516569197
parp1,fp,EF1,20.182453032300593
aa2ar,fp,EF1,19.683254139668826
abl1,fp,EF1,19.658550083010514
ada17,fp,EF1,19.626028215976472
reni,fp,EF1,19.594827586206897
ppara,fp,EF1,19.331983805668013
kpcb,fp,EF1,19.318181818181817
akt1,fp,EF1,18.809399999999997
ada,fp,EF1,18.419159335288366
cxcr4,fp,EF1,18.122766122766123
hmdh,fp,EF1,17.80392156862745
rock1,fp,EF1,17.26166426166426
mk10,fp,EF1,17.06276923076923
ppard,fp,EF1,16.07165233240303
cdk2,fp,EF1,15.818392134181607
pyrd,fp,EF1,15.742545871559631
bace1,fp,EF1,15.571933010492332
drd3,fp,EF1,15.37706001701682
kith,fp,EF1,14.16892911010558
egfr,fp,EF1,14.083335221479551
hs90a,fp,EF1,13.691496374423203
esr1,fp,EF1,13.52095594792224
esr2,fp,EF1,13.42616596772144
hivrt,fp,EF1,12.902482064814052
casp3,fp,EF1,12.647229849781944
def,fp,EF1,12.349536178107606
mp2k1,fp,EF1,12.241070285494814
pnph,fp,EF1,11.738696255201111
hivpr,fp,EF1,11.70595063538612
pygm,fp,EF1,11.583098591549296
mk14,fp,EF1,11.55451843419971
aofb,fp,EF1,11.511475409836066
kit,fp,EF1,11.433825944170772
akt2,fp,EF1,11.286324786324789
hdac8,fp,EF1,11.033784252514742
aces,fp,EF1,10.995060790273556
urok,fp,EF1,10.944822373393801
fa10,fp,EF1,10.88277268093782
fak1,fp,EF1,10.551470588235293
mk01,fp,EF1,10.454256854256855
nram,fp,EF1,10.363726135615536
thb,fp,EF1,9.655806182121971
fa7,fp,EF1,9.408372093023255
adrb1,fp,EF1,9.28898205354516
pgh2,fp,EF1,9.183464422901041
prgr,fp,EF1,9.150292397660818
adrb2,fp,EF1,8.894252873563218
tysy,fp,EF1,8.820990566037736
gria2,fp,EF1,8.53115844038765
fpps,fp,EF1,8.314839572192513
kif11,fp,EF1,7.959752321981425
cah2,fp,EF1,7.29739494552731
thrb,fp,EF1,7.255202628696604
inha,fp,EF1,7.107178968655208
tryb1,fp,EF1,6.651467505241089
mcr,fp,EF1,6.557874762808349
xiap,fp,EF1,6.544871794871795
try1,fp,EF1,6.2632275132275135
pgh1,fp,EF1,6.219327850929315
gcr,fp,EF1,6.102173913043478
dyr,fp,EF1,6.089301072186228
fkb1a,fp,EF1,5.997758266392677
andr,fp,EF1,5.348335453774385
dpp4,fp,EF1,5.303546413035464
pur2,fp,EF1,4.268412438625205
dhi1,fp,EF1,3.154304349272903
grik1,fp,EF1,3.1468253968253967
rxra,fp,EF1,2.489857250187829
hivint,fp,EF1,2.0942562592047125
aldr,fp,EF1,1.9254777070063693
fgfr1,fp,EF1,1.7966101694915255
comt,fp,EF1,0.0
ampc,fp,EF1,0.0
glcm,fp,EF1,0.0
