target,feat,metric,value
cp2c9,prop,EF1,20.15081967213115
cp3a4,prop,EF1,18.906873946431915
fa7,prop,EF1,15.811924769907963
kpcb,prop,EF1,14.660674157303372
esr2,prop,EF1,11.182500965506026
igf1r,prop,EF1,10.497465990930914
akt1,prop,EF1,9.904412349805044
esr1,prop,EF1,9.6339365008881
akt2,prop,EF1,9.219554030874786
rock1,prop,EF1,8.975889781859932
cxcr4,prop,EF1,8.521934197407777
nos1,prop,EF1,8.423780487804878
hmdh,prop,EF1,7.470470470470471
aofb,prop,EF1,7.243877551020408
def,prop,EF1,7.196428571428571
urok,prop,EF1,7.159937888198758
fabp4,prop,EF1,7.046581972171809
nram,prop,EF1,6.808488175675675
plk1,prop,EF1,6.258885941644563
adrb2,prop,EF1,6.198854763144196
ace,prop,EF1,5.994997759582875
cah2,prop,EF1,5.9398264462365296
ada,prop,EF1,5.759341100843711
fak1,prop,EF1,5.581196581196582
fnta,prop,EF1,5.4736082081120765
lck,prop,EF1,5.417248603351956
hivrt,prop,EF1,5.255495210822553
abl1,prop,EF1,5.245297619047619
hivpr,prop,EF1,5.135335405916477
tryb1,prop,EF1,5.122315592903828
fa10,prop,EF1,5.020435560859188
mcr,prop,EF1,4.779610787316013
mk14,prop,EF1,4.56321505131487
lkha4,prop,EF1,4.517956734831841
vgfr2,prop,EF1,4.387153729071537
csf1r,prop,EF1,4.254121201947289
reni,prop,EF1,4.180327868852459
casp3,prop,EF1,4.179563492063493
aces,prop,EF1,4.105888089024005
pgh1,prop,EF1,4.017149679800283
hs90a,prop,EF1,3.890249433106576
met,prop,EF1,3.728715728715729
adrb1,prop,EF1,3.716872427983539
cdk2,prop,EF1,3.6366875758708708
jak2,prop,EF1,3.5541066117593227
gria2,prop,EF1,3.4884126661045043
kit,prop,EF1,3.4281774051191527
kith,prop,EF1,3.3636915604128714
rxra,prop,EF1,3.326680576975415
mp2k1,prop,EF1,3.2714418604651163
bace1,prop,EF1,3.261153119092628
wee1,prop,EF1,3.0322793148880103
xiap,prop,EF1,3.03
mapk2,prop,EF1,3.03
drd3,prop,EF1,2.974686456033067
tysy,prop,EF1,2.9520935496039225
hdac8,prop,EF1,2.9315224127246435
hdac2,prop,EF1,2.9054820415879017
egfr,prop,EF1,2.8051054372957025
aldr,prop,EF1,2.7732349421619467
ppara,prop,EF1,2.7507435410470493
pa2ga,prop,EF1,2.742687747035573
braf,prop,EF1,2.7122241086587433
pde5a,prop,EF1,2.6345567365179057
src,prop,EF1,2.4152801682922163
try1,prop,EF1,2.4095279217040875
pparg,prop,EF1,2.398353938046951
andr,prop,EF1,2.329352608422376
pgh2,prop,EF1,2.301785277573979
pyrd,prop,EF1,2.3002754820936637
parp1,prop,EF1,2.2254594887527444
mk10,prop,EF1,2.2145625463841014
mmp13,prop,EF1,2.2108425455888545
thrb,prop,EF1,2.1353486412471034
prgr,prop,EF1,2.072658819456465
aa2ar,prop,EF1,2.0079519411070215
dpp4,prop,EF1,1.779801958166444
pnph,prop,EF1,1.75764192139738
ampc,prop,EF1,1.6479421579532814
kif11,prop,EF1,1.5685791125056028
dyr,prop,EF1,1.5101784593310015
grik1,prop,EF1,1.3913793103448275
hivint,prop,EF1,1.014923076923077
glcm,prop,EF1,0.9701550689628302
ptn1,prop,EF1,0.9410695742471443
thb,prop,EF1,0.7876059322033898
mk01,prop,EF1,0.7455242966751917
pur2,prop,EF1,0.5390731045181307
fgfr1,prop,EF1,0.5064102564102564
fpps,prop,EF1,0.48082148829431437
dhi1,prop,EF1,0.4000618556701031
gcr,prop,EF1,0.3995739846634479
ada17,prop,EF1,0.38953023938980086
tgfr1,prop,EF1,0.35814606741573035
sahh,prop,EF1,0.0
fkb1a,prop,EF1,0.0
pygm,prop,EF1,0.0
inha,prop,EF1,0.0
ppard,prop,EF1,0.0
comt,prop,EF1,0.0
ital,prop,EF1,0.0
hxk4,prop,EF1,0.0
