target,feat,metric,value
src,fp,EF1,63.49675189746057
kit,fp,EF1,62.727438054103196
csf1r,fp,EF1,62.09863845626408
lck,fp,EF1,61.63702939659619
adrb2,fp,EF1,59.40100250626566
plk1,fp,EF1,57.04239469050522
adrb1,fp,EF1,56.99544534412955
abl1,fp,EF1,56.73878415162819
vgfr2,fp,EF1,56.55958328904008
egfr,fp,EF1,56.18651837222597
jak2,fp,EF1,56.09175870858113
akt2,fp,EF1,55.63492063492063
esr2,fp,EF1,55.44556389978069
mk01,fp,EF1,54.74986241056687
esr1,fp,EF1,54.68872311326619
thrb,fp,EF1,54.03075668571971
prgr,fp,EF1,53.35952089638741
tgfr1,fp,EF1,52.815177478580175
ppara,fp,EF1,52.355779044923175
pparg,fp,EF1,52.14512653953757
mapk2,fp,EF1,51.88374321303098
urok,fp,EF1,51.56310559006211
wee1,fp,EF1,51.39152435167615
igf1r,fp,EF1,50.86975273145486
mp2k1,fp,EF1,50.83128401531949
cp2c9,fp,EF1,50.440000000000005
gcr,fp,EF1,50.14802631578947
ppard,fp,EF1,49.83524865591398
kpcb,fp,EF1,49.77626262626263
fa7,fp,EF1,49.58284600389864
mcr,fp,EF1,49.31260229132569
braf,fp,EF1,49.14184210526316
try1,fp,EF1,48.55168726235741
reni,fp,EF1,47.512499999999996
akt1,fp,EF1,47.149741472686024
met,fp,EF1,47.01268230818009
cp3a4,fp,EF1,46.13682649530401
fak1,fp,EF1,44.407407407407405
mk10,fp,EF1,44.25057405281286
lkha4,fp,EF1,43.94645467836257
tysy,fp,EF1,43.40461413923368
ace,fp,EF1,42.24546887312845
mk14,fp,EF1,41.796581734297995
bace1,fp,EF1,40.77593697503331
pur2,fp,EF1,40.651851851851845
fnta,fp,EF1,40.38093814968815
cdk2,fp,EF1,39.244666100102876
ada,fp,EF1,39.00527859237536
rock1,fp,EF1,38.58507936507936
hxk4,fp,EF1,35.43385753931545
hivpr,fp,EF1,34.96634038946542
hdac2,fp,EF1,34.87401247401248
andr,fp,EF1,34.60090645210572
nos1,fp,EF1,31.191358024691354
mmp13,fp,EF1,29.797742151465556
hdac8,fp,EF1,29.46170921198668
tryb1,fp,EF1,29.397420147420142
ptn1,fp,EF1,29.38693361433087
pde5a,fp,EF1,27.656022045712433
dyr,fp,EF1,27.274294670846395
ada17,fp,EF1,26.533694774125394
fa10,fp,EF1,26.519307807603212
casp3,fp,EF1,25.337334822259443
pa2ga,fp,EF1,23.424436674436674
hs90a,fp,EF1,22.894248608534323
aa2ar,fp,EF1,22.878809557876664
fabp4,fp,EF1,22.033096926713945
parp1,fp,EF1,21.485536336646444
thb,fp,EF1,21.444660194174755
sahh,fp,EF1,20.711564625850343
kith,fp,EF1,19.344827586206897
drd3,fp,EF1,18.541666666666664
hmdh,fp,EF1,17.083740912095177
ital,fp,EF1,15.988372093023257
aces,fp,EF1,15.502497966771234
pyrd,fp,EF1,14.54081774081774
pgh2,fp,EF1,14.525898752751283
hivrt,fp,EF1,13.917637450690334
pgh1,fp,EF1,13.445871559633028
hivint,fp,EF1,13.073731343283582
aofb,fp,EF1,12.333723653395785
rxra,fp,EF1,12.328898582333697
xiap,fp,EF1,12.103846153846154
dpp4,fp,EF1,11.458198511751004
pnph,fp,EF1,10.760471567267684
def,fp,EF1,9.972480220158237
aldr,fp,EF1,8.224618149146451
cah2,fp,EF1,7.728954409797263
dhi1,fp,EF1,7.602427334570192
fkb1a,fp,EF1,7.2206443731867465
gria2,fp,EF1,6.998298053398575
cxcr4,fp,EF1,5.0661764705882355
nram,fp,EF1,4.1454904542462145
grik1,fp,EF1,3.9885988598859887
kif11,fp,EF1,3.4797601199400297
pygm,fp,EF1,2.603896103896104
comt,fp,EF1,2.4961489088575095
inha,fp,EF1,2.3690596562184023
fpps,fp,EF1,1.1878342245989306
fgfr1,fp,EF1,0.8489208633093526
glcm,fp,EF1,0.0
ampc,fp,EF1,0.0
