target,feat,metric,value
ppard,prop,EF1,43.81481481481482
kit,prop,EF1,41.902006172839506
src,prop,EF1,40.4145051522414
lck,prop,EF1,38.412668567465516
cp2c9,prop,EF1,37.98403236108154
ppara,prop,EF1,37.085038756882064
akt2,prop,EF1,36.00118606375092
pparg,prop,EF1,35.805840444688016
abl1,prop,EF1,35.50832188120324
braf,prop,EF1,35.226550110238655
esr2,prop,EF1,34.97136423947569
adrb1,prop,EF1,34.31291937373522
esr1,prop,EF1,34.04272682556008
adrb2,prop,EF1,34.008806053092805
try1,prop,EF1,34.00206471736423
akt1,prop,EF1,33.29080811895869
csf1r,prop,EF1,32.916304168272674
igf1r,prop,EF1,32.41191924778761
fa7,prop,EF1,32.325422297297294
ptn1,prop,EF1,32.24421052631579
prgr,prop,EF1,32.09648537426315
bace1,prop,EF1,31.9690170351177
thrb,prop,EF1,31.79984376356219
cp3a4,prop,EF1,30.585970570449508
tryb1,prop,EF1,30.145748987854255
kpcb,prop,EF1,30.143727598566308
plk1,prop,EF1,28.524976958525343
vgfr2,prop,EF1,28.172205551387847
mcr,prop,EF1,27.107656879677602
urok,prop,EF1,25.587658592848904
met,prop,EF1,25.57850480497456
hivpr,prop,EF1,24.635550598642567
xiap,prop,EF1,24.221442152991077
mk01,prop,EF1,24.07944282871575
egfr,prop,EF1,23.967162930301743
casp3,prop,EF1,23.292972972972972
tysy,prop,EF1,23.131832797427652
fa10,prop,EF1,22.736921097770153
gcr,prop,EF1,21.91264947788802
mmp13,prop,EF1,20.737340052368953
wee1,prop,EF1,20.66828872668289
mp2k1,prop,EF1,20.03069657615112
reni,prop,EF1,19.046511627906977
ital,prop,EF1,18.932921830544437
dyr,prop,EF1,18.603055846181178
hmdh,prop,EF1,18.562424197875703
mk14,prop,EF1,17.50837252230475
cah2,prop,EF1,17.389313680331647
andr,prop,EF1,17.04670490758445
ada17,prop,EF1,16.895292081734073
thb,prop,EF1,16.711538461538463
jak2,prop,EF1,15.78694761486684
hs90a,prop,EF1,15.40368
fnta,prop,EF1,15.141575427799129
fak1,prop,EF1,14.95566188197767
hdac2,prop,EF1,14.711431742508324
mapk2,prop,EF1,14.676881067961164
mk10,prop,EF1,14.516129032258066
pa2ga,prop,EF1,14.288218689644925
pde5a,prop,EF1,13.613001341881615
pur2,prop,EF1,13.051295247898441
aces,prop,EF1,12.969556001784918
hdac8,prop,EF1,12.878025401389886
pygm,prop,EF1,12.457424047924691
rxra,prop,EF1,11.832146248812915
ace,prop,EF1,11.295093755185574
cdk2,prop,EF1,10.7865712390943
sahh,prop,EF1,10.739766081871347
rock1,prop,EF1,9.973474801061009
cxcr4,prop,EF1,9.937236533957845
tgfr1,prop,EF1,7.880203126874325
aofb,prop,EF1,7.847534013605443
kith,prop,EF1,7.831765935214211
nos1,prop,EF1,7.698795180722891
hivrt,prop,EF1,7.38249803388861
drd3,prop,EF1,7.311158169082912
fabp4,prop,EF1,7.046581972171809
dhi1,prop,EF1,6.950910188939694
pnph,prop,EF1,6.913686218407248
grik1,prop,EF1,6.646700706991359
lkha4,prop,EF1,6.571573432482677
aa2ar,prop,EF1,6.518172258315446
fkb1a,prop,EF1,6.232210412538281
hivint,prop,EF1,5.742427364516794
def,prop,EF1,5.685478689226815
glcm,prop,EF1,5.497545390789371
gria2,prop,EF1,4.736032410829159
kif11,prop,EF1,4.066061342675342
parp1,prop,EF1,3.9172784080567857
pyrd,prop,EF1,3.77701047003787
aldr,prop,EF1,3.6582600195503425
ada,prop,EF1,3.455604660506227
dpp4,prop,EF1,2.9692762341091505
inha,prop,EF1,2.9259032455603182
pgh1,prop,EF1,2.8122106169914933
pgh2,prop,EF1,2.0746834345869876
ampc,prop,EF1,1.6484983314794215
fgfr1,prop,EF1,1.3034238488783942
comt,prop,EF1,1.166279069767442
nram,prop,EF1,0.4538992117117117
fpps,prop,EF1,0.0
hxk4,prop,EF1,0.0
