target,feat,metric,value
gcr,prop,ROC,0.6948127686776292
fnta,prop,ROC,0.6516946447665706
pa2ga,prop,ROC,0.6124929543441501
try1,prop,ROC,0.8653541862680703
comt,prop,ROC,0.556169958179815
aa2ar,prop,ROC,0.5750875123773725
andr,prop,ROC,0.654744093400342
mp2k1,prop,ROC,0.7432324342525326
hxk4,prop,ROC,0.5498146663584603
drd3,prop,ROC,0.6017676241369951
hivpr,prop,ROC,0.6379903305186537
cp3a4,prop,ROC,0.7418328903866843
hdac8,prop,ROC,0.613471070478828
ampc,prop,ROC,0.46818394102144983
lkha4,prop,ROC,0.6250127573746274
kit,prop,ROC,0.9131019260738724
nram,prop,ROC,0.6857581847143432
fak1,prop,ROC,0.6982804491356094
wee1,prop,ROC,0.7454462475554839
hdac2,prop,ROC,0.6480305234700083
cdk2,prop,ROC,0.6620806874530585
ital,prop,ROC,0.5527791000253871
casp3,prop,ROC,0.7220067311190811
tryb1,prop,ROC,0.7600180373994203
abl1,prop,ROC,0.8293683349509526
tysy,prop,ROC,0.811467455428517
hs90a,prop,ROC,0.678428025129746
mcr,prop,ROC,0.7568489450539464
src,prop,ROC,0.7909120417622697
jak2,prop,ROC,0.6818489699203427
fa10,prop,ROC,0.6651753513656854
pde5a,prop,ROC,0.5875062965800311
akt2,prop,ROC,0.8420398408930518
fkb1a,prop,ROC,0.5403937469497503
kif11,prop,ROC,0.6377523349265625
hivrt,prop,ROC,0.6052338361002013
pur2,prop,ROC,0.9931708658662606
sahh,prop,ROC,0.8172899950133732
cah2,prop,ROC,0.6048100660226013
pparg,prop,ROC,0.8601576615615506
dpp4,prop,ROC,0.5394497446290785
parp1,prop,ROC,0.559923748725451
egfr,prop,ROC,0.7147426345134679
aldr,prop,ROC,0.5414645554533035
adrb1,prop,ROC,0.8598966305496297
grik1,prop,ROC,0.568058507586644
ppard,prop,ROC,0.8473215013907129
ptn1,prop,ROC,0.6672812186193303
rxra,prop,ROC,0.6857208843913102
tgfr1,prop,ROC,0.5882919524084939
ace,prop,ROC,0.67637376546716
reni,prop,ROC,0.8277638135393326
plk1,prop,ROC,0.7399329306505594
mapk2,prop,ROC,0.746624876278456
esr1,prop,ROC,0.9351029924047146
gria2,prop,ROC,0.6310271390454935
urok,prop,ROC,0.8091708587010177
lck,prop,ROC,0.7957826276587553
pgh2,prop,ROC,0.534764811106848
kpcb,prop,ROC,0.7098530614701997
thb,prop,ROC,0.6491241140463918
nos1,prop,ROC,0.669711223052608
bace1,prop,ROC,0.6903088990026145
prgr,prop,ROC,0.7408392022974476
fa7,prop,ROC,0.9031063993402435
ppara,prop,ROC,0.9208116985589787
ada,prop,ROC,0.7120475927413955
fpps,prop,ROC,0.6939566778434509
cp2c9,prop,ROC,0.7343586413758627
fabp4,prop,ROC,0.7044950379451255
cxcr4,prop,ROC,0.7164534116523499
igf1r,prop,ROC,0.8141435376574223
braf,prop,ROC,0.7451557573301371
thrb,prop,ROC,0.8363434930855185
rock1,prop,ROC,0.6959528458436357
esr2,prop,ROC,0.951135467394434
mk10,prop,ROC,0.6647293426572953
aofb,prop,ROC,0.568343742056049
pnph,prop,ROC,0.6543782645282399
xiap,prop,ROC,0.6283531304132639
fgfr1,prop,ROC,0.5597163007982584
adrb2,prop,ROC,0.8856598768298252
dhi1,prop,ROC,0.5416796804739988
vgfr2,prop,ROC,0.7355817016145897
mk14,prop,ROC,0.6781233268440271
dyr,prop,ROC,0.7386253635792468
hmdh,prop,ROC,0.6414133123582184
csf1r,prop,ROC,0.7252756880199154
hivint,prop,ROC,0.5372061122401125
pygm,prop,ROC,0.5182140685731658
mmp13,prop,ROC,0.5680712335197328
met,prop,ROC,0.691635761804844
akt1,prop,ROC,0.8057728863250443
glcm,prop,ROC,0.7296610021307581
mk01,prop,ROC,0.7068615542506755
kith,prop,ROC,0.6193245133970581
aces,prop,ROC,0.6659674728219188
inha,prop,ROC,0.6822904640960517
ada17,prop,ROC,0.5708177501569214
pyrd,prop,ROC,0.5274083226893246
pgh1,prop,ROC,0.5671225532311668
def,prop,ROC,0.5555722520919314
gcr,prop,EF1,18.58019028685033
fnta,prop,EF1,5.773531945542875
pa2ga,prop,EF1,2.742687747035573
try1,prop,EF1,30.02642487046632
comt,prop,EF1,1.166279069767442
aa2ar,prop,EF1,1.0709077019237447
andr,prop,EF1,16.499580976325163
mp2k1,prop,EF1,14.955162790697676
hxk4,prop,EF1,0.0
drd3,prop,EF1,3.450636288998358
hivpr,prop,EF1,5.53036120637159
cp3a4,prop,EF1,24.971342948117623
hdac8,prop,EF1,3.908696550299525
ampc,prop,EF1,0.0
lkha4,prop,EF1,6.571573432482677
kit,prop,EF1,42.60734774933805
nram,prop,EF1,0.0
fak1,prop,EF1,13.022792022792023
wee1,prop,EF1,6.064558629776021
hdac2,prop,EF1,3.873976055450535
cdk2,prop,EF1,8.702073842262442
ital,prop,EF1,0.7814756671899529
casp3,prop,EF1,4.939484126984127
tryb1,prop,EF1,5.122315592903828
abl1,prop,EF1,35.28654761904762
tysy,prop,EF1,22.77329309694455
hs90a,prop,EF1,2.917687074829932
mcr,prop,EF1,27.61552899338141
src,prop,EF1,33.64140234407016
jak2,prop,EF1,11.373141157629833
fa10,prop,EF1,8.845529321513807
pde5a,prop,EF1,2.2832825049821848
akt2,prop,EF1,34.041430267845364
fkb1a,prop,EF1,0.0
kif11,prop,EF1,3.66001792917974
hivrt,prop,EF1,7.132457786116324
pur2,prop,EF1,14.015900717471398
sahh,prop,EF1,10.739766081871347
cah2,prop,EF1,5.9398264462365296
pparg,prop,EF1,35.33574802055841
dpp4,prop,EF1,1.686128170894526
parp1,prop,EF1,0.9736385263293256
egfr,prop,EF1,15.649535597544446
aldr,prop,EF1,2.7732349421619467
adrb1,prop,EF1,33.71734273956496
grik1,prop,EF1,1.3913793103448275
ppard,prop,EF1,40.10508280982296
ptn1,prop,EF1,1.8821391484942886
rxra,prop,EF1,8.649369500136078
tgfr1,prop,EF1,7.162921348314606
ace,prop,EF1,5.722497861420016
reni,prop,EF1,14.21311475409836
plk1,prop,EF1,18.776657824933686
mapk2,prop,EF1,8.584999999999999
esr1,prop,EF1,33.89718398460628
gria2,prop,EF1,1.3953650664418016
urok,prop,EF1,26.00187969924812
lck,prop,EF1,28.580656424581008
pgh2,prop,EF1,1.5345235183826527
kpcb,prop,EF1,17.480034572169405
thb,prop,EF1,1.5752118644067796
nos1,prop,EF1,6.551829268292683
bace1,prop,EF1,5.79760554505356
prgr,prop,EF1,30.398996018694824
fa7,prop,EF1,23.374149659863942
ppara,prop,EF1,37.24083563263698
ada,prop,EF1,4.607472880674969
fpps,prop,EF1,0.9616429765886287
cp2c9,prop,EF1,31.268513284341438
fabp4,prop,EF1,7.046581972171809
cxcr4,prop,EF1,6.817547357926221
igf1r,prop,EF1,23.464923979727924
braf,prop,EF1,24.41001697792869
thrb,prop,EF1,31.373199267553595
rock1,prop,EF1,8.975889781859932
esr2,prop,EF1,34.87424029920524
mk10,prop,EF1,11.626453368516534
aofb,prop,EF1,8.451190476190478
pnph,prop,EF1,3.075873362445415
xiap,prop,EF1,4.04
fgfr1,prop,EF1,2.5320512820512824
adrb2,prop,EF1,33.94610941721822
dhi1,prop,EF1,2.8004329896907216
vgfr2,prop,EF1,19.45607305936073
mk14,prop,EF1,11.154525680991906
dyr,prop,EF1,14.724239978477266
hmdh,prop,EF1,9.960627293960629
csf1r,prop,EF1,27.845156958200437
hivint,prop,EF1,2.029846153846154
pygm,prop,EF1,1.9682034976152625
mmp13,prop,EF1,1.3004956150522673
met,prop,EF1,14.914862914862915
akt1,prop,EF1,26.317438529481976
glcm,prop,EF1,5.497545390789371
mk01,prop,EF1,23.111253196930946
kith,prop,EF1,1.6818457802064357
aces,prop,EF1,2.7372587260160035
inha,prop,EF1,4.388854868340477
ada17,prop,EF1,1.5581209575592034
pyrd,prop,EF1,2.3002754820936637
pgh1,prop,EF1,2.8120047758601974
def,prop,EF1,4.579545454545454
gcr,fp,ROC,0.9537239924744618
fnta,fp,ROC,0.9573021326931435
pa2ga,fp,ROC,0.9631300829374346
try1,fp,ROC,0.9916184891287412
comt,fp,ROC,0.7451115994739897
aa2ar,fp,ROC,0.9008174841359936
andr,fp,ROC,0.8524017165005536
mp2k1,fp,ROC,0.9163419662455567
hxk4,fp,ROC,0.8717894491795646
drd3,fp,ROC,0.8652215431585631
hivpr,fp,ROC,0.9141536088234499
cp3a4,fp,ROC,0.9362010502879861
