target,feat,metric,value
lck,fp,EF1,61.91615778181218
src,fp,EF1,61.51832460732984
csf1r,fp,EF1,60.90256045519203
kit,fp,EF1,60.02758620689656
plk1,fp,EF1,58.58905415713196
adrb2,fp,EF1,57.81264367816092
tgfr1,fp,EF1,56.713547237076654
vgfr2,fp,EF1,55.00365732458755
adrb1,fp,EF1,54.75610473668726
ppara,fp,EF1,54.45175438596491
pparg,fp,EF1,54.40445786185696
jak2,fp,EF1,54.39191919191919
egfr,fp,EF1,53.91276764472641
prgr,fp,EF1,53.84595141700405
mk01,fp,EF1,53.57806637806638
esr1,fp,EF1,53.23876404494382
abl1,fp,EF1,53.15089466888028
akt2,fp,EF1,53.0457264957265
esr2,fp,EF1,52.82904435125175
igf1r,fp,EF1,52.66619074814392
urok,fp,EF1,51.98790627362056
cp2c9,fp,EF1,51.811904761904756
fa7,fp,EF1,51.7460465116279
thrb,fp,EF1,51.39101861993428
ppard,fp,EF1,50.985931537278574
gcr,fp,EF1,50.56086956521739
wee1,fp,EF1,50.400000000000006
mapk2,fp,EF1,49.52135416666667
met,fp,EF1,49.281891168599465
mcr,fp,EF1,49.184060721062615
tysy,fp,EF1,49.14551886792453
kpcb,fp,EF1,47.83549783549783
try1,fp,EF1,46.661044973544975
akt1,fp,EF1,46.4232
mp2k1,fp,EF1,46.13941876840354
braf,fp,EF1,45.395783475783475
fak1,fp,EF1,45.37132352941177
mk10,fp,EF1,45.16615384615384
lkha4,fp,EF1,44.532407407407405
cp3a4,fp,EF1,44.26988335100743
fnta,fp,EF1,43.17756089559583
mk14,fp,EF1,40.839246189843806
pur2,fp,EF1,40.54991816693944
cdk2,fp,EF1,38.447480881691405
ada,fp,EF1,37.92179863147605
rock1,fp,EF1,37.56950456950457
hxk4,fp,EF1,36.54116558741906
ace,fp,EF1,36.307960877155224
andr,fp,EF1,34.7641804495335
hdac2,fp,EF1,32.25235478806908
bace1,fp,EF1,31.143866020984664
pa2ga,fp,EF1,28.35420054200542
nos1,fp,EF1,28.17283950617284
tryb1,fp,EF1,25.65566037735849
fa10,fp,EF1,25.60652395514781
pde5a,fp,EF1,25.546387962500983
hdac8,fp,EF1,25.31279916753382
reni,fp,EF1,24.938871473354233
hivpr,fp,EF1,23.41190127077224
aa2ar,fp,EF1,23.144046076313895
dyr,fp,EF1,22.951980964394245
mmp13,fp,EF1,22.65663098424026
casp3,fp,EF1,21.96624131804232
ptn1,fp,EF1,21.674666666666667
ada17,fp,EF1,21.473183812774256
parp1,fp,EF1,20.386316194243022
fabp4,fp,EF1,19.829787234042552
hs90a,fp,EF1,19.168094924192484
drd3,fp,EF1,18.40915635840042
thb,fp,EF1,18.104636591478698
ital,fp,EF1,18.097014925373134
pyrd,fp,EF1,16.668577981651374
def,fp,EF1,16.46604823747681
aces,fp,EF1,15.597644376899696
hivrt,fp,EF1,14.702828399439268
kith,fp,EF1,14.16892911010558
aofb,fp,EF1,13.978220140515223
dpp4,fp,EF1,10.985917569859176
pgh2,fp,EF1,10.831778550088409
hivint,fp,EF1,10.471281296023564
cxcr4,fp,EF1,10.355866355866356
aldr,fp,EF1,8.985562632696391
pgh1,fp,EF1,8.810714455483197
hmdh,fp,EF1,8.16013071895425
cah2,fp,EF1,8.027134440080042
fkb1a,fp,EF1,7.997011021856902
sahh,fp,EF1,7.965986394557823
dhi1,fp,EF1,7.885760873182257
xiap,fp,EF1,6.544871794871795
pnph,fp,EF1,5.8693481276005555
rxra,fp,EF1,5.809666917104934
comt,fp,EF1,4.992297817715019
gria2,fp,EF1,4.593700698670273
kif11,fp,EF1,4.4220846233230136
grik1,fp,EF1,4.195767195767195
pygm,fp,EF1,2.895774647887324
fgfr1,fp,EF1,2.694915254237288
inha,fp,EF1,2.3690596562184023
nram,fp,EF1,2.0727452271231073
fpps,fp,EF1,1.1878342245989306
glcm,fp,EF1,0.0
ampc,fp,EF1,0.0
