target,feat,metric,value
kit,prop,EF1,42.12235216240071
ppard,prop,EF1,40.56473224091727
ppara,prop,EF1,37.24293785310735
pparg,prop,EF1,35.81697457980275
esr2,prop,EF1,34.87611033193081
abl1,prop,EF1,34.81404761904762
akt2,prop,EF1,34.75709196463914
adrb2,prop,EF1,34.53937681267197
adrb1,prop,EF1,34.51636292377033
esr1,prop,EF1,34.077357164002365
src,prop,EF1,33.81526104417671
prgr,prop,EF1,31.78275921758698
cp2c9,prop,EF1,31.273600904465802
thrb,prop,EF1,30.881949733434883
try1,prop,EF1,30.0279792746114
csf1r,prop,EF1,29.007889877455096
lck,prop,EF1,28.581928371907424
mcr,prop,EF1,27.089499160327968
akt1,prop,EF1,25.753282406302223
braf,prop,EF1,25.49823146576118
cp3a4,prop,EF1,25.33073609290129
urok,prop,EF1,24.1203007518797
igf1r,prop,EF1,23.468302658486706
fa7,prop,EF1,23.378684807256235
mk01,prop,EF1,23.116208439897697
tysy,prop,EF1,22.77736703130894
vgfr2,prop,EF1,20.02922374429224
gcr,prop,EF1,19.58051689860835
plk1,prop,EF1,16.923076923076923
andr,prop,EF1,16.88894563167819
sahh,prop,EF1,16.646637426900586
kpcb,prop,EF1,15.790838375108038
egfr,prop,EF1,15.650063780594753
mk10,prop,EF1,14.950523624969076
dyr,prop,EF1,14.72511433952112
mp2k1,prop,EF1,14.489736434108528
pur2,prop,EF1,14.020942408376962
fak1,prop,EF1,12.094907407407407
met,prop,EF1,11.809122975789643
jak2,prop,EF1,11.374971402425073
mapk2,prop,EF1,11.111774193548387
mk14,prop,EF1,10.394311783967146
rock1,prop,EF1,9.476004592422504
tgfr1,prop,EF1,8.954654895666131
cdk2,prop,EF1,8.832269410249664
fa10,prop,EF1,8.607228094101602
reni,prop,EF1,8.364219529579472
bace1,prop,EF1,7.610018903591682
hmdh,prop,EF1,7.471471471471472
rxra,prop,EF1,7.3196951827996
wee1,prop,EF1,7.07685551163812
cxcr4,prop,EF1,6.819541375872382
aofb,prop,EF1,6.640221088435374
lkha4,prop,EF1,6.571573432482677
ace,prop,EF1,6.404130514481241
nos1,prop,EF1,6.083841463414634
hivrt,prop,EF1,6.006596227905599
tryb1,prop,EF1,5.977124183006535
cah2,prop,EF1,5.940047019835484
glcm,prop,EF1,5.820930413776982
hivpr,prop,EF1,5.793993782250569
pnph,prop,EF1,5.712336244541485
ptn1,prop,EF1,5.647975077881619
fabp4,prop,EF1,5.284936479128857
fnta,prop,EF1,4.573944681391933
inha,prop,EF1,4.388854868340477
def,prop,EF1,3.9260204081632653
hs90a,prop,EF1,3.891156462585034
hdac2,prop,EF1,3.8743961352657004
pyrd,prop,EF1,3.834366391184573
drd3,prop,EF1,3.807711907593001
pa2ga,prop,EF1,3.657707509881423
grik1,prop,EF1,3.4789870689655173
ada,prop,EF1,3.455604660506227
hdac8,prop,EF1,3.420470977070853
ampc,prop,EF1,3.2958843159065627
kif11,prop,EF1,3.092783505154639
dhi1,prop,EF1,3.000618556701031
fgfr1,prop,EF1,2.5360576923076925
dpp4,prop,EF1,2.435576323987539
aces,prop,EF1,2.3952017667135115
aldr,prop,EF1,2.3112784204228163
casp3,prop,EF1,2.2800324675324672
mmp13,prop,EF1,2.2109155564717704
hivint,prop,EF1,2.0301538461538464
xiap,prop,EF1,2.020487804878049
pgh1,prop,EF1,2.0087557436955024
pygm,prop,EF1,1.9687334393216747
parp1,prop,EF1,1.9473413489358966
pde5a,prop,EF1,1.9320913098617067
ada17,prop,EF1,1.817867910428531
thb,prop,EF1,1.575476694915254
pgh2,prop,EF1,1.5345887340017934
gria2,prop,EF1,1.39548137594138
nram,prop,EF1,1.361697635135135
comt,prop,EF1,1.166279069767442
aa2ar,prop,EF1,0.9370746232377248
kith,prop,EF1,0.0
ital,prop,EF1,0.0
fpps,prop,EF1,0.0
fkb1a,prop,EF1,0.0
hxk4,prop,EF1,0.0
