version,subset,split,component,seed,set,metric,value
2015,core,random,binding,111,test,pearson_r2_score,0.12131011502440502
2015,core,random,binding,111,test,mean_absolute_error,2.4631377921104436
2015,core,random,binding,111,train,pearson_r2_score,0.3864652897125324
2015,core,random,binding,111,train,mean_absolute_error,1.4158152846189647
2015,core,random,binding,111,valid,pearson_r2_score,0.18737368957701034
2015,core,random,binding,111,valid,mean_absolute_error,2.3143697196558897
2015,core,random,binding,222,test,pearson_r2_score,0.0137748210122068
2015,core,random,binding,222,test,mean_absolute_error,4.749353197455406
2015,core,random,binding,222,train,pearson_r2_score,0.03573265814854468
2015,core,random,binding,222,train,mean_absolute_error,4.63841802526743
2015,core,random,binding,222,valid,pearson_r2_score,0.07966986067132559
2015,core,random,binding,222,valid,mean_absolute_error,5.070718680055518
2015,core,random,binding,333,test,pearson_r2_score,0.00043119190404386926
2015,core,random,binding,333,test,mean_absolute_error,2.4295163235664368
2015,core,random,binding,333,train,pearson_r2_score,0.09708066266805507
2015,core,random,binding,333,train,mean_absolute_error,2.602049901057512
2015,core,random,binding,333,valid,pearson_r2_score,0.09608170134141787
2015,core,random,binding,333,valid,mean_absolute_error,2.9866474713777236
2015,core,random,binding,444,test,pearson_r2_score,0.04441544360425588
2015,core,random,binding,444,test,mean_absolute_error,2.621543697357178
2015,core,random,binding,444,train,pearson_r2_score,0.2931441108623062
2015,core,random,binding,444,train,mean_absolute_error,1.6283828913859835
2015,core,random,binding,444,valid,pearson_r2_score,0.13595146314776654
2015,core,random,binding,444,valid,mean_absolute_error,2.1160395250822375
2015,core,random,binding,555,test,pearson_r2_score,0.04201154935579319
2015,core,random,binding,555,test,mean_absolute_error,2.0749275169372554
2015,core,random,binding,555,train,pearson_r2_score,0.5216690528664794
2015,core,random,binding,555,train,mean_absolute_error,1.4096985296102673
2015,core,random,binding,555,valid,pearson_r2_score,0.2740230165330376
2015,core,random,binding,555,valid,mean_absolute_error,2.560502646596808
2015,core,scaffold,binding,111,test,pearson_r2_score,0.03488867376050529
2015,core,scaffold,binding,111,test,mean_absolute_error,2.60061160037392
2015,core,scaffold,binding,111,train,pearson_r2_score,0.7046383011604889
2015,core,scaffold,binding,111,train,mean_absolute_error,0.9469660386061057
2015,core,scaffold,binding,111,valid,pearson_r2_score,0.2772355402001378
2015,core,scaffold,binding,111,valid,mean_absolute_error,1.433186873435974
2015,core,scaffold,binding,222,test,pearson_r2_score,0.28801162197463415
2015,core,scaffold,binding,222,test,mean_absolute_error,2.31567564512554
2015,core,scaffold,binding,222,train,pearson_r2_score,0.8172698653602344
2015,core,scaffold,binding,222,train,mean_absolute_error,0.8708577980750647
2015,core,scaffold,binding,222,valid,pearson_r2_score,0.0661718723578318
2015,core,scaffold,binding,222,valid,mean_absolute_error,2.1726135873794554
2015,core,scaffold,binding,333,test,pearson_r2_score,0.014100714340415198
2015,core,scaffold,binding,333,test,mean_absolute_error,2.12715861370689
2015,core,scaffold,binding,333,train,pearson_r2_score,0.9718412453203562
2015,core,scaffold,binding,333,train,mean_absolute_error,0.2954508414635292
2015,core,scaffold,binding,333,valid,pearson_r2_score,0.21104788372513128
2015,core,scaffold,binding,333,valid,mean_absolute_error,2.101632677078247
2015,core,scaffold,binding,444,test,pearson_r2_score,0.1334328330065726
2015,core,scaffold,binding,444,test,mean_absolute_error,3.205463566529124
2015,core,scaffold,binding,444,train,pearson_r2_score,0.5226844359317432
2015,core,scaffold,binding,444,train,mean_absolute_error,1.2114741127918927
2015,core,scaffold,binding,444,valid,pearson_r2_score,0.29288127416678617
2015,core,scaffold,binding,444,valid,mean_absolute_error,2.8181501078605655
2015,core,scaffold,binding,555,test,pearson_r2_score,0.21631827262934858
2015,core,scaffold,binding,555,test,mean_absolute_error,2.8775014536004315
2015,core,scaffold,binding,555,train,pearson_r2_score,0.5111094001791079
2015,core,scaffold,binding,555,train,mean_absolute_error,1.3259498539949077
2015,core,scaffold,binding,555,valid,pearson_r2_score,0.49128332456645235
2015,core,scaffold,binding,555,valid,mean_absolute_error,2.141277134895325
2015,core,sequence,binding,111,test,pearson_r2_score,0.05913490131309697
2015,core,sequence,binding,111,test,mean_absolute_error,2.292314700076455
2015,core,sequence,binding,111,train,pearson_r2_score,0.1661579170848113
